gid,lat,long,ano_farm_pop,mes_farm_pop,ds_endereco_farmacia,nu_cep_farmacia,uf,cidade
"320","-2.9252282","-41.7631351","2014","2","RUA ANHANGUERA,1189","64215360","PI","Parnaíba"
"3","-9.7502604","-36.6593137","2014","2","RUA EXPEDICIONARIO BRASIEIROS Nº 61","57300590","AL","Arapiraca"
"108","-3.8924489","-38.6847522","2014","2","NAPOLEAO LIMA 253","61940180","CE","Maranguape"
"291","-7.10374","-34.8541389","2014","2","RUA JOAQUIM PIRES N 371","58028110","PB","João Pessoa"
"270","-2.5277756","-50.8456323","2014","2","AV FLORIANO PEIXOTO SN","68480000","PA","Portel"
"259","-1.9207489","-49.1221414","2014","2","RUA PADRE VITÓRIO SN","68430000","PA","Igarapé-Miri"
"235","-1.3530345","-48.3713774","2014","2","RUA ZACARIAS DE ASSUNC O","67030970","PA","Ananindeua"
"184","-19.2258089","-41.6365788","2014","2","RUA MARIA FRANCISCA DE J","3524000","MG","Conselheiro Pena"
"86","-14.8619367","-40.8348715","2014","2","PRACA VITOR BRITO, Nº 06 A","45020756","BA","Vitória da Conquista"
"125","-20.3166748","-40.3458631","2014","2","AV PRESIDENTE FLORENTINO AVIDOS Nº 321","29018190","ES","Vitória"
"53","-9.4150066","-40.5101704","2014","2","PRACA PEDRO PEREIRA PRIMO S/N","48903970","BA","Juazeiro"
"328","-5.0587533","-42.7637913","2014","2","RUA OSVALDO COSTA E SILVA S/N","64055410","PI","Teresina"
"327","-5.091331","-42.7956044","2014","2","R FELIX PACHECO, 1530","64001160","PI","Teresina"
"197","-16.7031651","-43.8434361","2014","2","RUA CONEGO CHAVES Nº 309","39400433","MG","Montes Claros"
"288","-7.2186163","-35.9032676","2014","2","RUA ALMIRANTE BARROSO 355","58105341","PB","Campina Grande"
"157","-4.497279","-45.2243578","2014","2","RUA SENADOR VITORINO FREIRE S/N","65715000","MA","Lago da Pedra"
"166","-2.538834","-44.2692196","2014","2","AVENIDA DOS FRANCESES Nº 375 A LOJA 04","65036280","MA","São Luís"
"387","-5.1880361","-37.3441344","2014","2","RUA DESEMBARGADOR DIONISIO FIGUEIRA Nº 291","59610090","RN","Mossoró"
"52","-13.860509","-40.0850925","2014","2","AVENIDA PRESIDENTE DUTRA","45200170","BA","Jequié"
"248","-1.456823","-48.4412549","2014","2","RUA SAO DOMINGOS, Nº 840","66077650","PA","Belém"
"156","-3.4543432","-44.1720266","2014","2","RUA CORNEL CATAO SNº","65485000","MA","Itapecuru Mirim"
"266","-1.1089868","-54.2593118","2014","2","PRACA FERNANDO GUILHON S","68220000","PA","Monte Alegre"
"345","-22.5466601","-44.1805437","2014","2","RUA TENENTE JOSE EDUARDO Nº 461","27345250","RJ","Barra Mansa"
"114","-3.6823593","-40.3537822","2014","2","CONSELHEIRO JOSE JULHO Nº 887","62010820","CE","Sobral"
"42","-14.7724278","-39.0580511","2014","2","CENTRAL DE ABASTECIMENTO DO MALHADO - PAVILHÃO A, S/N","45651250","BA","Ilhéus"
"263","-1.4081702","-48.4319297","2014","2","FOLHA 31 QUADRA 11 LOTE","68507560","PA","Marabá"
"322","-7.06175","-41.524971","2014","2","RUA OLAVO BILAC SN","6460000","PI","Picos"
"29","-12.1444393","-44.9965028","2014","2","PRACA CORONEL ANTONIO BALBINO Nº 41","47800050","BA","Barreiras"
"158","-2.5000299","-44.1150413","2014","2","AVENIDA 03 N 19 CONJUNTO MAIBOÃO","65130000","MA","Paço do Lumiar"
"393","-5.7853957","-35.2066038","2014","2","RUA PRINCESA ISABEL,Nº 483","59025400","RN","Natal"
"74","-13.0113641","-38.4734227","2014","2","RUA REINALDO DE MATOS, 5 - CENTRO COM. AMARALINA","41900170","BA","Salvador"
"343","-22.4596368","-43.8314886","2014","2","RUA BARAO DO RIO BONITO Nº 72","27113040","RJ","Barra do Piraí"
"316","-9.3811538","-40.5305175","2014","2","RUA MARTINHO CANDIDO SN COHAB MASSANGANO","56310270","PE","Petrolina"
"89","-3.9997372","-38.4429274","2014","2","RUA VIRGILIO COELHO N 15","61700000","CE","Aquiraz"
"54","-9.4444512","-40.4898162","2014","2","RODOVIA JUAZEIRO CURACA KM 01 Nº 9","48907630","BA","Juazeiro"
"71","-12.8997915","-38.4205695","2014","2","RUA DA PACIÊNCIA, 04 COLETORA 04 SETOR B","41338700","BA","Salvador"
"275","-9.2291157","-50.5135589","2014","2","AVJOSÉ MENDONÇA,224 SL 1 E 2","68560","PA","Santana do Araguaia"
"279","-3.7590857","-49.6694446","2014","2","RUA SANTO ANTONIO, N 497","68458030","PA","Tucuruí"
"32","-12.7073296","-38.3231594","2014","2","RUA TUPINAMBA N 43","42800140","BA","Camaçari"
"69","-12.9210941","-38.5001028","2014","2","LARGO DA RIBEIRA S/N CEASA","40421530","BA","Salvador"
"167","-2.534633","-44.3035453","2014","2","PRACA JOAO LISBOA N 53","65010000","MA","São Luís"
"12","-4.8798602","-64.7162415","2014","2","ESTRADA MAMIA, SN","69460000","AM","Coari"
"241","-1.4617654","-48.4574892","2014","2","TVCARLOS BENTES,S/N DISTRITO DE MOSQUEIRO","66914050","PA","Belém"
"95","-3.7329267","-38.6713321","2014","2","RUA JUACI SAMPAIO PONTES 1800","61610140","CE","Caucaia"
"22","-2.6272387","-56.7229552","2014","2","RUA PARAIBA Nº 1615","69153010","AM","Parintins"
"267","0.5080915","-57.6439048","2014","2","TR ANTONIO DE SOUZA BENTES S/N","68270000","PA","Oriximiná"
"302","-7.1660303","-34.9754651","2014","2","RUA JUAREZ TAVORA 164","58300410","PB","Santa Rita"
"278","-2.6729327","-48.2393528","2014","2","AVENIDA FRANCISCO SOARES S/N","68680000","PA","Tomé-Açu"
"100","-3.779545","-38.5559162","2014","2","RUA EDUARDO PERDIGAO Nº241 PARANGABA","60740010","CE","Fortaleza"
"451","-10.2475973","-36.8142605","2014","2","RUA DOM JOSÉ VICENTE TAVORA,SN°","49900000","SE","Propriá"
"164","-2.6987619","-44.8317802","2014","2","PCA DE EVENTOS SN","6523500","MA","São Bento"
"187","-19.480409","-42.523742","2014","2","AV JOAO VALENTIM PASCOAL Nº 103 A","35160003","MG","Ipatinga"
"120","-20.3388418","-40.3675423","2014","2","RUA ENGENHEIRO JOSE SERTAO Nº 42","29140180","ES","Cariacica"
