gid,lat,long,ano_farm_pop,mes_farm_pop,ds_endereco_farmacia,nu_cep_farmacia,uf,cidade
"136","-16.0582206","-48.0446383","2014","2","QUADRA 110 LOTE 01","72860110","GO","Novo Gama"
"523","-23.602721","-46.5975964","2014","2","AV BARO DE DUPRAT, Nº 123","4743060","SP","São Paulo"
"459","-20.9400441","-48.4812248","2014","2","PRACA ABILIO MANOEL, Nº","14700349","SP","Bebedouro"
"493","-22.7653095","-47.387329","2014","2","AV ITAPARK, Nº 3203","9310370","SP","Mauá"
"479","-23.721114","-46.8328707","2014","2","RUA SAO PAULO N 39","6850080","SP","Itapecerica da Serra"
"491","-22.2242358","-49.9495068","2014","2","AV BRASIL 184","17501000","SP","Marília"
"367","-22.7094519","-42.6227676","2014","2","RUA JOAO CARMO, N 27","2880000","RJ","Rio Bonito"
"528","-23.602721","-46.5975964","2014","2","R JAVORAU, 70","2732000","SP","São Paulo"
"330","-25.5881164","-49.3983234","2014","2","RUA ALFREDO PARODI N°764","83702080","PR","Araucária"
"503","-21.1766753","-47.8056964","2014","2","AV GERONIMO GONCALVES S/N","14010040","SP","Ribeirão Preto"
"457","-23.1094503","-48.9228016","2014","2","RUA SANTA CATARINA Nº 960","18700005","SP","Avaré"
"521","-23.602721","-46.5975964","2014","2","RUA BATISTA CRESPO, Nº 65/71","5786040","SP","São Paulo"
"458","-20.554547","-48.578721","2014","2","AV 21, 1008","14780310","SP","Barretos"
"537","-23.642182","-46.805065","2014","2","RUA MANOEL MATOS DA SILVA SOBRINHO REGO Nº 35","6775540","SP","Taboão da Serra"
"363","-22.5015876","-43.1674506","2014","2","RUA EPITACIO PESSOA N 56","25610000","RJ","Petrópolis"
"483","-23.7908044","-46.6395285","2014","2","PRAÇA PADRE JOÃO ALVARES Nº 35","8577290","SP","Itaquaquecetuba"
"368","-22.8875724","-43.256382","2014","2","AV.DOM HELDER CAMARA,1390","20973011","RJ","Rio de Janeiro"
"527","-23.602721","-46.5975964","2014","2","AV ZELINA, 1011","3143003","SP","São Paulo"
"532","-21.1389483","-47.9985512","2014","2","RUA VOLUNTARIO OTTO GOMES MARTINS Nº 1095","14170620","SP","Sertãozinho"
"232","-15.6003024","-56.1672448","2014","2","RUA MANOEL VARGAS,27","78118120","MT","Várzea Grande"
"463","-22.8818412","-47.0704677","2014","2","RUA CLOVIS BEVILACQUA N° 535","13073021","SP","Campinas"
"402","-29.9245592","-51.1820694","2014","2","RUA GUILHERME MORSCH","92310008","RS","Canoas"
"470","-23.6886288","-46.5850799","2014","2","RUA LUIS CARLOS PRESTES Nº 712","9932340","SP","Diadema"
"473","-23.3135805","-46.7252429","2014","2","RUA CORYPHEU  AZEVEDO MARQUES Nº 83","7802050","SP","Franco da Rocha"
"465","-23.5163247","-46.8400227","2014","2","AV INOCENCIO SERAFIO Nº 42","6320290","SP","Carapicuíba"
"362","-22.8630046","-42.3080137","2014","2","RUA WALDEMAR MATIAS, SN","2397000","RJ","Paraty"
"416","-30.8833826","-55.5455171","2014","2","RUA RIVADAVIA CORREA, Nº 429","97573011","RS","Sant'Ana do Livramento"
"455","-21.7830319","-48.1966691","2014","2","RUA CARLOS GOMES N 1610 A","14801901","SP","Araraquara"
"355","-22.3716774","-41.7830347","2014","2","RUA MARCIAL ALVES MOREIRA, 51","27910000","RJ","Macaé"
"257","-0.7568787","-47.8822604","2014","2","TRAVESSA 7 DE SETEMBRO Nº 228 - TERREO CENTRO","68750000","PA","Curuçá"
