gid,ds_endereco_farmacia,cidade,uf
167,PRACA JOAO LISBOA N 53,São Luís,MA
12,"ESTRADA MAMIA, SN",Coari,AM
241,"TVCARLOS BENTES,S/N DISTRITO DE MOSQUEIRO",Belém,PA
95,RUA JUACI SAMPAIO PONTES 1800,Caucaia,CE
22,RUA PARAIBA Nº 1615,Parintins,AM
267,TR ANTONIO DE SOUZA BENTES S/N,Oriximiná,PA
302,RUA JUAREZ TAVORA 164,Santa Rita,PB
278,AVENIDA FRANCISCO SOARES S/N,Tomé-Açu,PA
100,RUA EDUARDO PERDIGAO Nº241 PARANGABA,Fortaleza,CE
451,"RUA DOM JOSÉ VICENTE TAVORA,SN°",Propriá,SE
164,PCA DE EVENTOS SN,São Bento,MA
187,AV JOAO VALENTIM PASCOAL Nº 103 A,Ipatinga,MG
120,RUA ENGENHEIRO JOSE SERTAO Nº 42,Cariacica,ES
76,"AV. LUIZ TARQUINIO, S/N LARGO DE ROMA - HOSP. IRMÃ DULCE",Salvador,BA
324,RUA CINQUENTA E QUATRO S/N,Teresina,PI
34,PRAÇA SENADOR TEMISTOCLES Nº 756 SEDE,Cruz das Almas,BA
20,RUA SAMAMBAIA Nº 816 CASA 07,Manaus,AM
191,RUA ESPIRITO SANTO N 1064,Juiz de Fora,MG
10,"RUA VEREADOR MIGUEL TAVARES, Nº398",Teotônio Vilela,AL
287,RUA VITORINA BARRETO DE OLIVEIRA Nº 204,Campina Grande,PB
62,AVENIDA BARROS REIS SN,Salvador,BA
313,AVENIDA JOAQUIM NABUCO S/N ARMAZEM MERCADO PUBLICO,Olinda,PE
63,RUA PROFESSOR PINTO DE AGUIAR S/N,Salvador,BA
349,RUA ESTRADA DE BUZIOS JARDIM ESPERANÇA,Cabo Frio,RJ
211,RUA DR PEDRO LUIZ 559,Sete Lagoas,MG
176,RUA RIO GRANDE DO SUL Nº 54,Belo Horizonte,MG
61,RUA 2 DE JULHO Nº 620 LOTE PARQUE CARVALHO QD 18,Salvador,BA
91,"RUA DIVINO SALVADOR, SN",Barbalha,CE
285,RUA CAMPOS SALES 138,Campina Grande,PB
78,ALLAN KARDECK N 264,Santo Antônio de Jesus,BA
325,AV DR ANTONIO PEREIRA MARTINS S/N,Teresina,PI
6,AVENIDA BENEDITO BENTES Nº 136,Maceió,AL
98,RUA JOSE CARVALHO N 340,Crato,CE
181,"RUA MARECHAL DEODORO DA ONESC Nº 59 LOJA 1,2",Caratinga,MG
193,RUA PLOBIO CORTES DE PAULA Nº 32,Leopoldina,MG
23,"RUA EDILSON GONCALVES, 215",São Gabriel da Cachoeira,AM
389,"AVENIDA DAS FRONTEIRAS, Nº 700",Natal,RN
245,"RUA MANOEL BARATA,1765",Belém,PA
202,"PÇA DESEMBARGADOR FREDERICO, Nº 21",Patos de Minas,MG
65,RUA PERIQUITOS SN TERREO,Salvador,BA
281,RUA JUSTO CHERMONT SN,Viseu,PA
99,RUA DO ROSÁRIO Nº283 TÉRREO,Fortaleza,CE
24,"RUA GETULIO VARGAS, 36",Tefé,AM
397,AVENIDA MAMORE Nº 3590,Porto Velho,RO
85,AV CEARA N 45,Vitória da Conquista,BA
2,RUA FLORIANO PEIXOTO N º 901,Rio Branco,AC
218,RUA SANTA RITA Nº 484,Varginha,MG
25,"AVENIDA FAB, 1737",Macapá,AP
67,AV EDGARD SANTOS SN,Salvador,BA
169,"RUA DR NINA RODRIGUES,20 B",Vargem Grande,MA
314,PRAÇA PADRE FRANCISCO PEDRO DA SILVA,Ouricuri,PE
303,RUA ODON BEZERRA N 07,Sousa,PB
293,"AV D PEDRO II,",João Pessoa,PB
170,"AVMILIAR,SN°BAIRRO VILA BEC",Zé Doca,MA
18,AV BRASIL Nº 1325,Manaus,AM
206,RUA JOAO DE DEUS GOMES Nº 30 A,Ribeirão das Neves,MG
238,"RUA LIBERDADE, N 672",Ananindeua,PA
118,PRAÇA DE JERONIMO MONTEIRO Nº 101 ED. MAX TERREO,Cachoeiro de Itapemirim,ES
286,"R QUINZE DE NOVEMBRO, Nº 956",Campina Grande,PB
489,RUA MARECHAL BITTENCOURT Nº 70,Jaú,SP
137,QUADRA 06 MC LOTE 06,Planaltina,GO
370,"PRAIA DO GALEAO, 92",Rio de Janeiro,RJ
423,"RUA SALDANHA DA GAMA, 817",São Leopoldo,RS
353,RUA CORONEL FREITAS Nº 783,Itaguaí,RJ
517,PRACA PAUL PERCY HARRIS S/N,São José do Rio Preto,SP
413,RUA RAMIRO BARCELOS Nº 2500,Porto Alegre,RS
495,RUA MARCILIANO 372,Moji Mirim,SP
484,RUA PIRACICABA Nº 146,Itaquaquecetuba,SP
501,AV SANTO ANDRE Nº 238,Ribeirão Pires,SP
354,"AV LENY FERREIRA, Nº 230",Japeri,RJ
499,RUA DOUTOR MONTEIRO DE GODOY Nº 349/351,Pindamonhangaba,SP
512,"RUA PIAGENTINI,Nº 138",São Bernardo do Campo,SP
432,RUA 620 Nº 250 ESQUINA COM A 4º AVENIDA DO BAIRRO,Balneário Camboriú,SC
132,"AV. INDEPENDÊNCIA, Nº 4517  QUADRA 134 LOTE 29",Goiânia,GO
529,"LARGO DO ROSARIO, Nº 121",São Paulo,SP
471,"RUA SANTOS DUMONT, 1161",Ferraz de Vasconcelos,SP
439,RUA CAETANO VIEIRA DA COSTA Nº 883,Lages,SC
513,RUA MARECHAL DEODORO Nº 1056,São Bernardo do Campo,SP
334,"RUA CANDIDO LOPES, 208 - TÉRREO",Curitiba,PR
434,"AV NEREU RAMOS, 973-D",Chapecó,SC
524,AVENIDA SAO JOAO Nº 35 LOJA 11,São Paulo,SP
337,AV MONTEIRO LOBATO 1120,Maringá,PR
511,"RUA RIO ACIMA,Nº 622",São Bernardo do Campo,SP
131,AV JOAO ISPER GERBRIM Nº 455,Formosa,GO
401,RUA GENERAL JOAO TELES Nº 862,Bagé,RS
536,RUA ESTRADA DO KOYAMA Nº 81,Suzano,SP
366,AVENIDA JOAO FERREIRA PINTO Nº 87,Resende,RJ
365,RUA MANOEL AUGUSTO MUGUET Nº 280,Queimados,RJ
533,RUA IPIRANGA 334,Sumaré,SP
541,"RUA JOSÉ MILANI,155",Valinhos,SP
506,PRACA JOAO XXIII S/N,Santa Bárbara d'Oeste,SP
507,RUA CORONEL SEABRA Nº 321,Santo André,SP
496,AV JOAO BATISTA N 99,Osasco,SP
538,RUA DR JORGE WINTER Nº 232,Taubaté,SP
436,FRANCISCO TOLENTINO LOJA 26 MERCADO PUBLICO,Florianópolis,SC
502,PRAÇA BONFIM Nº 216,Ribeirão Preto,SP
514,"AVENIDA ROBERT KENNEDY, Nº 3438",São Bernardo do Campo,SP
406,"AV PRESIDENTE VARGAS,2504 LOJA 02",Esteio,RS
486,"PRAÇA REGENTE FEIJO, Nº 52",Itu,SP
468,RUA CAPITAO OTAVIO RAMOS Nº 281,Cruzeiro,SP
340,"RUA DR COLARES, Nº 25",Ponta Grossa,PR
359,RUA FREI LUDOLF SN LOTE 90,Nilópolis,RJ
516,RUA SANTA CRUZ 198,São Carlos,SP
520,"RUA FORCA PUBLICA, 64",São Paulo,SP
510,"RUA DA CONSTITUIÇÃO,Nº 315",Santos,SP
515,"RUA SANTO ANTONIO, Nº 50",São Caetano do Sul,SP
126,TRAVESSA OLIMPIO BARBOSA DE MELO Nº 63,Anápolis,GO
382,TRAVESSA AUGUSTO DE ALMEIDA Nº 37,Três Rios,RJ
500,RUA VINTE E SEIS DE MARCO Nº 483,Poá,SP
116,QUADRA 08 COMERCIO LOCAL 03 LOJA 03 SERRA VERDE,Brasília,DF
